maize_crop_yield,VAR,WMG,SWD,REP,ND2SE,SC8,SC9,SC10,WD3WAS,WD6WAS,WD9WAS,WDW3WAS,WDW6WAS,WDW9WAS,PLTHT3,PLTH6,PLTH9,LA3,LA6,LA9,LAI3,LAI6,LAI9,50%TASSEL,50%SILK,CobL,CobD,Nokelrwcob,NoGrnRow,NoGperCob,CobWgt,1000GWgt,GY
1,1,1,1,1,37,1,11,12,85,96,150,65.3,68.1,85.2,30.7,100,119.3,33.9,236.5,500,0.009,0.0631,0.1143,59,63,12.2,3.7,13,29,383,1138.15,188.8,737.55
1,1,1,1,2,40,1,7,17,60,124,193,43.6,59.54,193.1,28.3,98.1,153.3,28.5,283.7,381.3,0.0076,0.0757,0.1017,59,63,15.2,3.7,13,29,392,1708.62,150,1189.45
1,1,1,1,3,61,1,2,5,40,61,153,18,24.28,180,31.8,80.3,85.3,46.4,310.9,418.8,0.0093,0.0622,0.1117,58,63,15.2,3.7,13,33,420,1033.87,187,877.08
1,1,1,2,1,48,10,21,33,21,50,100,4.1,8.6,200,37.6,102.8,171.2,51.3,247.9,580.7,0.0137,0.0661,0.1549,60,64,13.2,3.8,13,23,307,2083.33,156.5,1416.67
1,1,1,2,2,48,15,23,45,72,87,97,75.66,95.34,101.4,47.2,112.7,181.9,72,334.2,456.9,0.0192,0.0891,0.1218,60,64,14.3,3.8,14,31,429,2476.67,209.5,1715
1,1,1,2,3,33,12,14,33,68,85,127,13.9,30.6,120,41.6,66.4,135.9,92.5,106.1,503.7,0.0185,0.0283,0.1343,59,63,13.5,3.8,14,29,351,2250,180,1583.33
1,1,1,3,1,41,56,103,130,70,74,106,14.8,52.2,71,36.1,110.6,134.3,26.6,285.1,405.7,0.0071,0.076,0.1082,56,61,14,3.2,10,26,260,2000,164,1333.33
1,1,1,3,2,43,58,108,142,76,120,135,16.5,73.2,87.2,32.3,101.5,151,48.4,231.9,370.8,0.0129,0.0618,0.0989,56,60,14.2,3.4,10,28,280,3000,183,1740
1,1,1,3,3,40,8,20,50,70,92,129,3.87,13.33,88.02,33.6,113.6,136.5,40.9,241.6,385.6,0.0109,0.0643,0.1028,55,61,15,3.6,11,30,330,2000,172,1166.67
1,1,2,1,1,58,1,3,7,47,50,56,1.73,4.2,36.3,43.1,127,166.1,69.6,411.2,722.3,0.0186,0.1096,0.1926,54,59,19,4.6,13,37,491,5980.5,286,4491.73
1,1,2,1,2,55,7,10,21,30,50,91,1.02,8.18,12.6,39.5,111,158,66,354.6,587.3,0.0176,0.0946,0.1566,58,61,17.8,4.7,15,42,625,4310.1,213.5,3184.55
1,1,2,1,3,48,3,13,16,36,40,43,1.92,3.8,29.6,49,139.6,182.9,85.2,506.6,661.6,0.0227,0.1351,0.1764,54,59,15.3,4.4,14,28,398,2261.78,181,1708.67
1,1,2,2,1,48,3,8,19,30,49,79,3.4,4.3,19.8,45.4,120.4,183.8,69.3,243,565.7,0.0185,0.0648,0.1509,55,61,17.8,4.3,13,38,512,6000,228,4166.67
1,1,2,2,2,50,5,8,12,68,85,149,7.64,18.3,85.2,44,100.2,177.6,55.8,167.4,517.3,0.0149,0.0446,0.1379,55,61,17,4.2,13,38,504,5500,249,4333.33
1,1,2,2,3,50,8,15,21,61,65,70,12.14,18.3,33.6,45.7,115.3,178.1,60.8,298.9,529.5,0.0162,0.0797,0.1412,54,63,17.5,4.6,15,39,600,6063.33,257.5,4500
1,1,2,3,1,43,12,38,39,53,63,64,3.92,4.1,54.8,30.6,100.2,173.9,94.8,211.1,416.9,0.0253,0.0563,0.1112,56,59,14,3.8,12,33,396,3666.67,168,2666.67
